都道府県名,市町村名,,"告示別表第10
で定める
地域の区分","年間の
日射
地域区分","暖房期の
日射
地域区分"
01.北海道,ｱ,愛別町,1,3,2
01.北海道,,赤井川村,2,3,2
01.北海道,,赤平市,2,3,2
01.北海道,,旭川市,2,3,2
01.北海道,,芦別市,2,3,2
01.北海道,,足寄町,1,3,4
01.北海道,,厚岸町,2,3,3
01.北海道,,厚沢部町,3,2,2
01.北海道,,厚真町,2,3,3
01.北海道,,網走市,2,3,3
01.北海道,,安平町,2,3,3
01.北海道,ｲ,池田町,2,4,4
01.北海道,,石狩市,2,3,3
01.北海道,,今金町,2,2,2
01.北海道,,岩内町,2,2,2
01.北海道,,岩見沢市,2,3,3
01.北海道,ｳ,歌志内市,2,3,2
01.北海道,,浦臼町,2,2,2
01.北海道,,浦河町,2,3,3
01.北海道,,浦幌町,2,3,4
01.北海道,,雨竜町,2,3,2
01.北海道,ｴ,江差町,3,2,2
01.北海道,,枝幸町（旧枝幸町）,2,2,2
01.北海道,,枝幸町（旧歌登町）,1,2,2
01.北海道,,恵庭市,2,3,3
01.北海道,,江別市,2,3,3
01.北海道,,えりも町,2,3,3
01.北海道,,遠軽町,1,3,3
01.北海道,,遠別町,2,2,2
01.北海道,ｵ,雄武町,1,3,3
01.北海道,,大空町,2,3,3
01.北海道,,奥尻町,3,3,2
01.北海道,,置戸町,1,3,3
01.北海道,,興部町,1,3,3
01.北海道,,長万部町,2,2,2
01.北海道,,小樽市,2,3,2
01.北海道,,音威子府村,1,2,2
01.北海道,,音更町,2,3,4
01.北海道,,乙部町,3,2,2
01.北海道,,帯広市,2,3,4
01.北海道,,小平町,2,3,2
01.北海道,ｶ,上川町,1,3,2
01.北海道,,上士幌町,1,3,4
01.北海道,,上砂川町,2,3,2
01.北海道,,上ノ国町,3,2,2
01.北海道,,上富良野町,2,3,2
01.北海道,,神恵内村,2,2,2
01.北海道,ｷ,木古内町,2,3,3
01.北海道,,北広島市,2,3,3
01.北海道,,北見市,2,3,3
01.北海道,,喜茂別町,1,3,2
01.北海道,,京極町,2,3,2
01.北海道,,共和町,2,3,2
01.北海道,,清里町,2,3,3
01.北海道,ｸ,釧路市,2,3,4
01.北海道,,釧路町,2,3,4
01.北海道,,倶知安町,2,2,2
01.北海道,,栗山町,2,3,3
01.北海道,,黒松内町,2,2,2
01.北海道,,訓子府町,1,3,3
01.北海道,ｹ,剣淵町,2,2,2
01.北海道,ｺ,小清水町,2,3,3
01.北海道,ｻ,札幌市,2,3,3
01.北海道,,様似町,2,3,3
01.北海道,,更別村,1,3,4
01.北海道,,猿払村,1,2,2
01.北海道,,佐呂間町,1,3,3
01.北海道,ｼ,鹿追町,2,3,4
01.北海道,,鹿部町,2,3,3
01.北海道,,標茶町,1,3,3
01.北海道,,士別市,1,3,2
01.北海道,,標津町,2,3,3
01.北海道,,士幌町,2,3,4
01.北海道,,島牧村,2,2,2
01.北海道,,清水町,2,3,3
01.北海道,,占冠村,1,2,2
01.北海道,,下川町,1,3,2
01.北海道,,積丹町,2,2,2
01.北海道,,斜里町,2,3,3
01.北海道,,初山別村,2,3,2
01.北海道,,白老町,2,3,3
01.北海道,,白糠町,2,3,4
01.北海道,,知内町,3,3,2
01.北海道,,新篠津村,2,3,2
01.北海道,,新得町,2,3,3
01.北海道,,新十津川町,2,3,2
01.北海道,,新ひだか町,2,3,3
01.北海道,ｽ,寿都町,2,2,2
01.北海道,,砂川市,2,3,2
01.北海道,ｾ,せたな町,2,2,2
01.北海道,ｿ,壮瞥町,2,2,2
01.北海道,ﾀ,大樹町,1,3,4
01.北海道,,鷹栖町,2,2,2
01.北海道,,滝川市,2,3,2
01.北海道,,滝上町,1,2,2
01.北海道,,伊達市（旧伊達市）,2,3,3
01.北海道,,伊達市（旧大滝村）,1,3,3
01.北海道,ﾁ,秩父別町,2,3,2
01.北海道,,千歳市,2,3,3
01.北海道,ﾂ,月形町,2,3,2
01.北海道,,津別町,1,3,3
01.北海道,,鶴居村,1,3,3
01.北海道,ﾃ,天塩町,2,2,2
01.北海道,,弟子屈町,1,3,3
01.北海道,ﾄ,当別町,2,3,3
01.北海道,,当麻町,2,3,2
01.北海道,,洞爺湖町,2,2,2
01.北海道,,苫小牧市,2,3,3
01.北海道,,苫前町,2,3,2
01.北海道,,泊村,2,2,2
01.北海道,,豊浦町,2,2,2
01.北海道,,豊頃町,1,3,4
01.北海道,,豊富町,2,2,2
01.北海道,ﾅ,奈井江町,2,3,2
01.北海道,,中川町,1,2,2
01.北海道,,中札内村,1,3,4
01.北海道,,中標津町,1,3,3
01.北海道,,中頓別町,1,2,2
01.北海道,,長沼町,2,3,3
01.北海道,,中富良野町,2,3,2
01.北海道,,七飯町,2,3,3
01.北海道,,名寄市,1,2,2
01.北海道,,南幌町,2,3,3
01.北海道,ﾆ,新冠町,2,3,3
01.北海道,,仁木町,2,3,2
01.北海道,,西興部村,1,2,2
01.北海道,,ニセコ町,2,2,2
01.北海道,ﾇ,沼田町,2,2,2
01.北海道,ﾈ,根室市,2,3,3
01.北海道,ﾉ,登別市,2,3,3
01.北海道,ﾊ,函館市,3,3,3
01.北海道,,羽幌町,2,3,2
01.北海道,,浜頓別町,1,2,2
01.北海道,,浜中町,2,3,3
01.北海道,ﾋ,美瑛町,1,3,2
01.北海道,,東神楽町,2,3,2
01.北海道,,東川町,2,3,2
01.北海道,,日高町,2,3,3
01.北海道,,比布町,2,3,2
01.北海道,,美唄市,2,3,2
01.北海道,,美深町,1,2,2
01.北海道,,美幌町,2,3,3
01.北海道,,平取町,2,3,3
01.北海道,,広尾町,2,3,4
01.北海道,ﾌ,深川市,2,3,2
01.北海道,,福島町,3,2,2
01.北海道,,富良野市,2,3,2
01.北海道,,古平町,2,2,2
01.北海道,ﾍ,別海町,1,3,3
01.北海道,ﾎ,北斗市,2,3,3
01.北海道,,北竜町,2,3,2
01.北海道,,幌加内町,1,2,2
01.北海道,,幌延町,2,2,2
01.北海道,,本別町,2,3,4
01.北海道,ﾏ,幕別町（旧忠類村）,1,3,4
01.北海道,,幕別町（旧幕別町）,2,3,4
01.北海道,,増毛町,2,3,2
01.北海道,,真狩村,2,2,2
01.北海道,,松前町,3,2,2
01.北海道,ﾐ,三笠市,2,3,2
01.北海道,,南富良野町,1,3,3
01.北海道,ﾑ,むかわ町,2,3,3
